traveller_id,wt_css_o,wt_css_d,cs_duration,walking_duration,public_duration,bicycling_duration,driving_duration,cs_distance,walking_distance,public_distance,bicycling_distance,driving_distance
t66,6 mins,4 mins,14 mins,1 hour 2 mins,20 mins,18 mins,16 mins,4.2 km,4.5 km,4.8 km,4.9 km,5.9 km
t67,6 mins,8 mins,19 mins,1 hour 22 mins,31 mins,22 mins,19 mins,5.8 km,5.9 km,6.8 km,6.3 km,7.8 km
t68,6 mins,6 mins,10 mins,38 mins,11 mins,11 mins,10 mins,3.2 km,2.8 km,2.9 km,3.2 km,4.0 km
t69,1 min,3 mins,23 mins,2 hours 4 mins,29 mins,31 mins,24 mins,10.3 km,8.9 km,9.9 km,8.8 km,10.6 km
t70,3 mins,7 mins,9 mins,31 mins,14 mins,9 mins,8 mins,3.4 km,2.3 km,2.3 km,2.3 km,3.0 km
t71,6 mins,5 mins,24 mins,1 hour 48 mins,35 mins,29 mins,26 mins,7.8 km,7.8 km,8.7 km,8.6 km,10.2 km
t72,3 mins,3 mins,23 mins,1 hour 35 mins,37 mins,25 mins,22 mins,7.5 km,6.8 km,8.1 km,7.2 km,7.1 km
t73,6 mins,8 mins,19 mins,1 hour 48 mins,38 mins,29 mins,21 mins,8.5 km,7.8 km,7.9 km,8.1 km,11.4 km
t74,6 mins,2 mins,26 mins,2 hours 5 mins,39 mins,32 mins,27 mins,9.4 km,8.9 km,11.9 km,9.5 km,11.1 km
t75,2 mins,6 mins,27 mins,1 hour 53 mins,46 mins,29 mins,26 mins,9.4 km,8.1 km,10.1 km,8.2 km,8.9 km
t76,2 mins,10 mins,26 mins,1 hour 59 mins,46 mins,31 mins,27 mins,10.1 km,8.6 km,10.2 km,8.9 km,9.4 km
t77,6 mins,7 mins,21 mins,1 hour 54 mins,37 mins,31 mins,21 mins,8.9 km,8.2 km,8.5 km,9.1 km,11.7 km
t78,6 mins,7 mins,19 mins,1 hour 9 mins,31 mins,20 mins,16 mins,6.6 km,5.0 km,6.3 km,5.5 km,5.6 km
t79,8 mins,6 mins,23 mins,1 hour 41 mins,32 mins,26 mins,22 mins,7.9 km,7.3 km,8.2 km,7.8 km,7.4 km
t80,8 mins,4 mins,23 mins,1 hour 27 mins,42 mins,21 mins,20 mins,8.6 km,6.2 km,8.6 km,6.4 km,6.4 km
t81,6 mins,7 mins,15 mins,1 hour 26 mins,30 mins,21 mins,15 mins,6.0 km,6.3 km,9.7 km,6.5 km,6.7 km
t82,6 mins,6 mins,20 mins,1 hour 0 mins,27 mins,15 mins,17 mins,7.2 km,4.3 km,4.7 km,4.5 km,5.0 km
t83,6 mins,6 mins,20 mins,1 hour 16 mins,29 mins,20 mins,19 mins,8.8 km,5.5 km,7.2 km,6.1 km,6.6 km
t84,2 mins,5 mins,8 mins,27 mins,16 mins,6 mins,8 mins,2.0 km,2.0 km,2.8 km,2.1 km,2.6 km
t85,4 mins,5 mins,19 mins,1 hour 24 mins,38 mins,22 mins,19 mins,6.7 km,6.1 km,7.5 km,6.3 km,6.8 km
t86,6 mins,4 mins,23 mins,1 hour 44 mins,25 mins,27 mins,23 mins,8.4 km,7.5 km,8.5 km,7.6 km,7.8 km
t87,2 mins,7 mins,23 mins,1 hour 41 mins,41 mins,27 mins,24 mins,8.6 km,7.2 km,9.8 km,7.6 km,8.9 km
t88,7 mins,4 mins,14 mins,53 mins,26 mins,14 mins,13 mins,4.2 km,3.8 km,4.3 km,3.9 km,3.7 km
t89,4 mins,7 mins,23 mins,1 hour 47 mins,42 mins,31 mins,25 mins,10.4 km,7.7 km,11.7 km,9.1 km,10.7 km
t90,2 mins,6 mins,16 mins,1 hour 11 mins,30 mins,18 mins,15 mins,5.6 km,5.1 km,6.1 km,5.3 km,5.5 km
t91,8 mins,5 mins,18 mins,56 mins,30 mins,14 mins,16 mins,5.0 km,4.0 km,6.0 km,4.0 km,4.3 km
t92,7 mins,8 mins,18 mins,1 hour 17 mins,32 mins,20 mins,18 mins,6.9 km,5.5 km,6.8 km,5.9 km,5.9 km
t93,8 mins,5 mins,21 mins,1 hour 32 mins,34 mins,24 mins,20 mins,8.6 km,6.6 km,8.5 km,6.8 km,6.8 km
t94,8 mins,3 mins,9 mins,23 mins,12 mins,6 mins,6 mins,2.5 km,1.7 km,1.9 km,1.7 km,1.7 km
t95,8 mins,6 mins,14 mins,58 mins,25 mins,14 mins,13 mins,5.4 km,4.2 km,5.6 km,4.2 km,4.4 km
t96,2 mins,3 mins,28 mins,2 hours 33 mins,53 mins,38 mins,28 mins,12.0 km,11.0 km,12.9 km,11.4 km,12.1 km
t97,8 mins,10 mins,25 mins,1 hour 50 mins,45 mins,27 mins,25 mins,9.8 km,7.8 km,9.9 km,7.9 km,8.8 km
t98,8 mins,4 mins,24 mins,1 hour 38 mins,34 mins,26 mins,23 mins,10.7 km,7.0 km,8.7 km,7.6 km,10.2 km
t99,2 mins,6 mins,12 mins,58 mins,22 mins,15 mins,13 mins,4.9 km,4.2 km,4.8 km,4.3 km,4.6 km
t100,3 mins,11 mins,13 mins,47 mins,22 mins,11 mins,12 mins,4.1 km,3.3 km,5.0 km,3.4 km,3.7 km
t101,3 mins,7 mins,18 mins,1 hour 23 mins,34 mins,21 mins,16 mins,6.1 km,6.0 km,6.4 km,6.2 km,6.1 km
t102,3 mins,7 mins,8 mins,30 mins,19 mins,7 mins,10 mins,2.1 km,2.1 km,2.3 km,2.3 km,2.6 km
t103,3 mins,3 mins,22 mins,1 hour 57 mins,26 mins,28 mins,20 mins,9.1 km,8.4 km,8.6 km,8.3 km,8.8 km
t104,6 mins,7 mins,7 mins,20 mins,13 mins,6 mins,5 mins,1.9 km,1.4 km,1.8 km,1.9 km,1.5 km
t105,3 mins,5 mins,14 mins,1 hour 12 mins,36 mins,18 mins,14 mins,5.1 km,5.1 km,6.8 km,5.4 km,5.4 km
t106,6 mins,6 mins,13 mins,48 mins,25 mins,13 mins,12 mins,4.6 km,3.4 km,5.0 km,4.1 km,4.5 km
t107,3 mins,9 mins,8 mins,42 mins,30 mins,11 mins,10 mins,3.0 km,3.0 km,5.5 km,3.0 km,3.1 km
t108,3 mins,3 mins,14 mins,1 hour 12 mins,22 mins,19 mins,15 mins,5.3 km,5.1 km,6.9 km,5.6 km,5.6 km
t109,3 mins,8 mins,7 mins,28 mins,15 mins,9 mins,7 mins,2.2 km,2.0 km,2.2 km,2.4 km,2.4 km
t110,3 mins,4 mins,5 mins,10 mins,9 mins,3 mins,3 mins,1.3 km,0.8 km,1.0 km,0.8 km,0.8 km
t111,3 mins,6 mins,19 mins,1 hour 22 mins,29 mins,21 mins,19 mins,7.0 km,5.8 km,7.7 km,6.0 km,7.0 km
t112,3 mins,8 mins,18 mins,1 hour 22 mins,18 mins,21 mins,18 mins,5.8 km,5.9 km,6.3 km,5.9 km,5.9 km
t113,3 mins,3 mins,11 mins,27 mins,8 mins,7 mins,8 mins,2.8 km,1.8 km,1.7 km,2.1 km,2.1 km
t114,6 mins,11 mins,17 mins,1 hour 34 mins,30 mins,22 mins,16 mins,6.6 km,6.8 km,7.3 km,6.8 km,6.8 km
t115,3 mins,5 mins,13 mins,57 mins,24 mins,14 mins,13 mins,4.1 km,4.0 km,4.9 km,4.1 km,4.1 km
t116,3 mins,9 mins,20 mins,1 hour 34 mins,31 mins,23 mins,20 mins,7.2 km,6.7 km,7.1 km,6.7 km,6.7 km
t117,4 mins,4 mins,23 mins,1 hour 39 mins,28 mins,25 mins,21 mins,8.2 km,7.1 km,11.6 km,7.4 km,7.7 km
t118,6 mins,8 mins,19 mins,1 hour 30 mins,19 mins,23 mins,20 mins,6.7 km,6.4 km,7.1 km,6.3 km,6.3 km
t119,6 mins,1 min,14 mins,1 hour 13 mins,31 mins,22 mins,12 mins,6.5 km,5.4 km,7.2 km,6.5 km,6.1 km
t120,8 mins,2 mins,6 mins,18 mins,12 mins,5 mins,4 mins,1.8 km,1.3 km,1.5 km,1.5 km,1.3 km
t121,8 mins,6 mins,24 mins,2 hours 17 mins,48 mins,34 mins,23 mins,10.1 km,9.7 km,11.3 km,9.8 km,9.8 km
t122,4 mins,5 mins,21 mins,1 hour 26 mins,23 mins,23 mins,19 mins,7.1 km,6.1 km,8.4 km,7.0 km,6.9 km
t123,4 mins,10 mins,9 mins,24 mins,14 mins,7 mins,6 mins,2.6 km,1.7 km,1.8 km,1.7 km,1.9 km
t124,8 mins,1 min,23 mins,1 hour 48 mins,32 mins,26 mins,23 mins,8.0 km,7.7 km,9.6 km,7.6 km,8.1 km
t125,8 mins,11 mins,18 mins,1 hour 20 mins,35 mins,20 mins,18 mins,5.7 km,5.7 km,7.1 km,6.1 km,6.4 km
t126,8 mins,6 mins,21 mins,1 hour 34 mins,23 mins,23 mins,21 mins,6.5 km,6.8 km,7.4 km,6.6 km,6.7 km
t127,8 mins,1 min,22 mins,1 hour 41 mins,31 mins,24 mins,22 mins,7.8 km,7.2 km,7.8 km,7.3 km,8.0 km
t128,6 mins,9 mins,11 mins,45 mins,21 mins,10 mins,10 mins,3.6 km,3.3 km,3.6 km,3.0 km,3.4 km
t129,6 mins,4 mins,21 mins,1 hour 33 mins,32 mins,24 mins,20 mins,7.5 km,6.6 km,8.1 km,7.0 km,7.4 km
t130,8 mins,4 mins,17 mins,1 hour 7 mins,31 mins,17 mins,16 mins,5.3 km,4.8 km,6.1 km,5.2 km,5.2 km
t131,8 mins,8 mins,15 mins,1 hour 3 mins,27 mins,15 mins,14 mins,4.8 km,4.5 km,4.8 km,4.3 km,4.3 km
t132,6 mins,3 mins,22 mins,1 hour 24 mins,34 mins,22 mins,19 mins,7.1 km,6.0 km,7.0 km,6.3 km,6.3 km
t133,7 mins,7 mins,6 mins,29 mins,14 mins,7 mins,6 mins,1.9 km,2.1 km,2.8 km,2.1 km,2.3 km
t134,4 mins,5 mins,21 mins,1 hour 28 mins,43 mins,21 mins,20 mins,6.3 km,6.3 km,9.1 km,6.3 km,6.4 km
t135,4 mins,5 mins,22 mins,1 hour 31 mins,29 mins,23 mins,20 mins,6.7 km,6.5 km,7.9 km,6.4 km,6.7 km
t136,7 mins,4 mins,21 mins,1 hour 25 mins,28 mins,20 mins,20 mins,6.2 km,6.1 km,6.7 km,6.2 km,6.2 km
t137,7 mins,6 mins,17 mins,1 hour 10 mins,26 mins,18 mins,18 mins,5.7 km,5.1 km,7.0 km,5.5 km,6.1 km
t138,7 mins,5 mins,9 mins,40 mins,17 mins,10 mins,9 mins,2.6 km,2.9 km,2.9 km,2.8 km,3.1 km
t139,4 mins,3 mins,12 mins,46 mins,17 mins,13 mins,10 mins,4.0 km,3.3 km,3.7 km,4.0 km,3.7 km
t140,7 mins,8 mins,4 mins,17 mins,15 mins,5 mins,5 mins,1.2 km,1.2 km,1.8 km,1.4 km,1.4 km
t141,4 mins,5 mins,17 mins,1 hour 12 mins,26 mins,18 mins,16 mins,5.1 km,5.1 km,5.6 km,5.1 km,5.4 km
t142,4 mins,3 mins,12 mins,1 hour 0 mins,33 mins,14 mins,10 mins,5.0 km,4.3 km,5.4 km,4.4 km,4.6 km
t143,7 mins,5 mins,21 mins,1 hour 35 mins,30 mins,24 mins,21 mins,7.0 km,6.7 km,8.2 km,7.5 km,6.9 km
t144,4 mins,7 mins,19 mins,1 hour 23 mins,28 mins,20 mins,18 mins,5.8 km,6.0 km,6.6 km,5.9 km,6.2 km
t145,7 mins,9 mins,27 mins,2 hours 7 mins,28 mins,32 mins,24 mins,8.5 km,9.1 km,10.5 km,9.3 km,10.2 km
t146,4 mins,7 mins,25 mins,2 hours 3 mins,37 mins,31 mins,21 mins,9.3 km,8.9 km,9.9 km,9.4 km,10.5 km
t147,2 mins,11 mins,23 mins,1 hour 47 mins,35 mins,32 mins,24 mins,8.1 km,7.7 km,10.5 km,7.9 km,8.7 km
t148,2 mins,3 mins,18 mins,1 hour 21 mins,27 mins,22 mins,18 mins,5.9 km,5.9 km,10.3 km,6.6 km,6.9 km
t149,6 mins,7 mins,11 mins,39 mins,16 mins,12 mins,10 mins,3.7 km,2.8 km,4.2 km,3.0 km,3.0 km
t150,6 mins,8 mins,14 mins,1 hour 12 mins,22 mins,19 mins,15 mins,5.1 km,5.2 km,6.5 km,5.3 km,6.0 km
t151,3 mins,5 mins,6 mins,17 mins,8 mins,5 mins,5 mins,1.9 km,1.3 km,1.4 km,1.5 km,1.5 km
t152,2 mins,5 mins,23 mins,1 hour 46 mins,25 mins,28 mins,22 mins,7.8 km,7.6 km,9.2 km,7.9 km,8.4 km
t153,2 mins,3 mins,25 mins,2 hours 3 mins,29 mins,32 mins,27 mins,9.3 km,8.8 km,10.0 km,9.3 km,10.4 km
t154,3 mins,6 mins,26 mins,2 hours 16 mins,31 mins,32 mins,26 mins,10.1 km,9.8 km,11.8 km,9.8 km,10.1 km
t155,2 mins,10 mins,22 mins,1 hour 47 mins,30 mins,28 mins,22 mins,9.2 km,7.8 km,11.3 km,8.4 km,9.2 km
t156,6 mins,2 mins,22 mins,1 hour 43 mins,28 mins,24 mins,22 mins,7.7 km,7.5 km,8.0 km,7.5 km,7.6 km
t157,3 mins,4 mins,18 mins,1 hour 12 mins,21 mins,17 mins,17 mins,6.6 km,5.1 km,5.7 km,5.2 km,6.1 km
t158,3 mins,5 mins,20 mins,1 hour 22 mins,24 mins,19 mins,18 mins,6.6 km,5.9 km,5.7 km,5.9 km,6.0 km
t159,6 mins,6 mins,21 mins,1 hour 20 mins,26 mins,22 mins,19 mins,7.0 km,5.7 km,6.1 km,6.4 km,6.3 km
t160,6 mins,2 mins,19 mins,1 hour 40 mins,25 mins,26 mins,19 mins,7.1 km,7.2 km,8.8 km,7.5 km,7.7 km
t161,6 mins,4 mins,20 mins,1 hour 31 mins,22 mins,25 mins,19 mins,7.4 km,6.6 km,7.9 km,6.9 km,6.8 km
t162,2 mins,6 mins,22 mins,1 hour 46 mins,25 mins,28 mins,23 mins,8.0 km,7.6 km,9.2 km,7.9 km,8.4 km
t163,2 mins,8 mins,18 mins,1 hour 12 mins,20 mins,20 mins,19 mins,6.1 km,5.3 km,5.8 km,5.5 km,7.6 km
t164,2 mins,4 mins,4 mins,19 mins,8 mins,5 mins,4 mins,1.2 km,1.3 km,1.5 km,1.5 km,1.3 km
t165,6 mins,3 mins,15 mins,1 hour 9 mins,25 mins,20 mins,16 mins,5.0 km,4.9 km,6.4 km,5.2 km,5.2 km
t166,6 mins,4 mins,26 mins,2 hours 31 mins,38 mins,40 mins,25 mins,10.9 km,10.8 km,11.7 km,11.1 km,11.3 km
t167,7 mins,6 mins,9 mins,33 mins,15 mins,9 mins,9 mins,2.6 km,2.4 km,2.6 km,2.4 km,2.6 km
t168,7 mins,7 mins,11 mins,57 mins,34 mins,15 mins,10 mins,5.2 km,4.2 km,8.3 km,4.3 km,4.6 km
t169,4 mins,5 mins,9 mins,45 mins,15 mins,13 mins,9 mins,3.7 km,3.3 km,3.8 km,3.6 km,3.7 km
t170,4 mins,13 mins,12 mins,59 mins,26 mins,15 mins,14 mins,3.9 km,4.3 km,5.8 km,4.4 km,4.8 km
t171,7 mins,11 mins,20 mins,1 hour 27 mins,36 mins,22 mins,21 mins,7.2 km,6.2 km,8.1 km,6.3 km,7.8 km
t172,4 mins,9 mins,23 mins,2 hours 0 mins,34 mins,32 mins,24 mins,10.5 km,8.6 km,10.9 km,9.3 km,10.8 km
t173,7 mins,3 mins,20 mins,1 hour 36 mins,39 mins,27 mins,19 mins,8.3 km,6.9 km,11.5 km,7.6 km,8.4 km
t174,4 mins,8 mins,5 mins,18 mins,10 mins,5 mins,4 mins,1.8 km,1.4 km,1.4 km,1.4 km,1.4 km
t175,7 mins,4 mins,24 mins,2 hours 3 mins,35 mins,32 mins,24 mins,10.8 km,8.9 km,11.5 km,9.2 km,10.6 km
t176,4 mins,7 mins,18 mins,1 hour 9 mins,26 mins,18 mins,15 mins,5.7 km,5.0 km,5.9 km,5.3 km,5.3 km
t177,7 mins,11 mins,17 mins,1 hour 49 mins,45 mins,28 mins,20 mins,8.5 km,7.9 km,10.3 km,8.0 km,9.1 km
t178,4 mins,6 mins,17 mins,1 hour 16 mins,34 mins,23 mins,15 mins,7.7 km,5.5 km,8.7 km,6.7 km,7.0 km
t179,7 mins,3 mins,4 mins,8 mins,8 mins,2 mins,2 mins,1.5 km,0.6 km,0.6 km,0.6 km,0.6 km
t180,7 mins,1 min,24 mins,2 hours 7 mins,43 mins,31 mins,26 mins,9.8 km,9.1 km,13.2 km,9.2 km,10.5 km
t181,8 mins,6 mins,19 mins,1 hour 34 mins,38 mins,25 mins,22 mins,6.6 km,6.8 km,7.7 km,7.9 km,7.5 km
t182,4 mins,6 mins,6 mins,38 mins,22 mins,9 mins,9 mins,2.3 km,2.8 km,3.7 km,2.8 km,2.8 km
t183,4 mins,5 mins,18 mins,1 hour 23 mins,25 mins,22 mins,19 mins,7.0 km,5.9 km,6.5 km,6.0 km,6.7 km
t184,8 mins,3 mins,16 mins,1 hour 17 mins,39 mins,21 mins,18 mins,5.4 km,5.5 km,7.8 km,6.0 km,5.7 km
t185,4 mins,3 mins,8 mins,40 mins,18 mins,11 mins,9 mins,3.1 km,2.9 km,3.4 km,3.2 km,3.4 km
t186,4 mins,7 mins,15 mins,50 mins,16 mins,13 mins,14 mins,5.2 km,3.5 km,3.5 km,3.7 km,3.9 km
t187,4 mins,7 mins,8 mins,38 mins,15 mins,11 mins,12 mins,2.9 km,2.7 km,3.0 km,2.7 km,3.3 km
t188,8 mins,4 mins,22 mins,1 hour 43 mins,41 mins,28 mins,24 mins,7.9 km,7.4 km,10.2 km,8.8 km,8.8 km
t189,4 mins,6 mins,14 mins,44 mins,15 mins,13 mins,13 mins,3.8 km,3.1 km,2.9 km,3.7 km,3.7 km
t190,8 mins,2 mins,22 mins,2 hours 0 mins,51 mins,30 mins,25 mins,8.7 km,8.6 km,10.6 km,9.6 km,9.3 km
t191,4 mins,12 mins,10 mins,1 hour 1 min,20 mins,17 mins,14 mins,4.2 km,4.5 km,7.0 km,5.2 km,5.6 km
t192,8 mins,6 mins,14 mins,1 hour 6 mins,33 mins,17 mins,17 mins,4.9 km,4.7 km,5.9 km,5.2 km,5.4 km
