traveller_id,POI_o,POI_d,lat_o,lng_o,lat_d,lng_d,css_o,css_d
t67,49,321,55.6372747,12.6183612,55.6766618,12.5690495,CS3,CS22
t68,49,352,55.6372747,12.6183612,55.66097600000001,12.6040486,CS3,CS6
t69,51,413,55.6400501,12.6176269,55.68026529999999,12.521601,CS3,CS39
t70,50,43,55.6422753,12.6158552,55.66034659999999,12.6124427,CS3,CS2
t71,49,324,55.6372747,12.6183612,55.6977797,12.5795082,CS3,CS40
t72,50,382,55.6422753,12.6158552,55.6897342,12.5601575,CS3,CS60
t73,49,167,55.6372747,12.6183612,55.6764163,12.5420539,CS3,CS27
t74,49,477,55.6372747,12.6183612,55.702685,12.5505033,CS3,CS62
t75,48,39,55.64114410000001,12.6160056,55.6998665,12.5530057,CS3,CS54
t76,48,15,55.64114410000001,12.6160056,55.700097,12.540309,CS3,CS51
t77,49,76,55.6372747,12.6183612,55.67451390000001,12.5320843,CS3,CS26
t78,154,391,55.6574468,12.6163924,55.6691329,12.5574079,CS4,CS95
t79,150,235,55.65443579999999,12.6109197,55.7102123,12.592691,CS4,CS49
t80,150,30,55.65443579999999,12.6109197,55.7007973,12.5800157,CS4,CS66
t81,154,148,55.6574468,12.6163924,55.61842859999999,12.5721577,CS4,CS64
t82,154,366,55.6574468,12.6163924,55.6852561,12.5830594,CS4,CS23
t83,154,422,55.6574468,12.6163924,55.666579,12.546733,CS4,CS96
t84,153,16,55.65349,12.6190323,55.6669546,12.6034848,CS4,CS0
t85,149,156,55.654913,12.620377,55.67162899999999,12.546236,CS4,CS27
t86,154,416,55.6574468,12.6163924,55.6802819,12.5220389,CS4,CS39
t87,152,356,55.65418699999999,12.6157299,55.7058809,12.5760601,CS4,CS72
t88,151,242,55.6537616,12.6106535,55.67983100000001,12.592508,CS4,CS21
t89,149,204,55.654913,12.620377,55.6658161,12.5137475,CS4,CS81
t90,153,459,55.65349,12.6190323,55.6737712,12.5647803,CS4,CS97
t91,150,90,55.65443579999999,12.6109197,55.683218,12.5783977,CS4,CS19
t92,151,67,55.6537616,12.6106535,55.6901306,12.5637778,CS4,CS55
t93,150,302,55.65443579999999,12.6109197,55.6858692,12.5341335,CS4,CS36
t94,150,318,55.65443579999999,12.6109197,55.66731919999999,12.5978964,CS4,CS5
t95,150,276,55.65443579999999,12.6109197,55.66577729999999,12.5661667,CS4,CS93
t96,153,398,55.65349,12.6190323,55.6927641,12.4818742,CS4,CS91
t97,150,449,55.65443579999999,12.6109197,55.71207159999999,12.5608513,CS4,CS73
t98,150,116,55.65443579999999,12.6109197,55.6665095,12.5148662,CS4,CS79
t99,153,194,55.65349,12.6190323,55.6765485,12.5782685,CS4,CS20
t100,318,361,55.66731919999999,12.5978964,55.68999299999999,12.5773931,CS5,CS23
t101,316,199,55.6680754,12.5971848,55.6610386,12.5190101,CS5,CS81
t102,316,240,55.6680754,12.5971848,55.6813386,12.5932285,CS5,CS21
t103,316,143,55.6680754,12.5971848,55.69093549999999,12.4875513,CS5,CS88
t104,317,0,55.66597299999999,12.59799,55.665722,12.580919,CS5,CS43
t105,318,102,55.66731919999999,12.5978964,55.693661,12.5422628,CS5,CS56
t106,317,310,55.66597299999999,12.59799,55.6897378,12.5741199,CS5,CS71
t107,318,261,55.66731919999999,12.5978964,55.6537283,12.5671434,CS5,CS46
t108,318,180,55.66731919999999,12.5978964,55.682021,12.532044,CS5,CS29
t109,318,188,55.66731919999999,12.5978964,55.67298,12.572543,CS5,CS20
t110,318,454,55.66731919999999,12.5978964,55.66151489999999,12.6034498,CS5,CS10
t111,318,46,55.66731919999999,12.5978964,55.70876639999999,12.5604087,CS5,CS68
t112,316,417,55.6680754,12.5971848,55.68157950000001,12.5193161,CS5,CS39
t113,316,87,55.6680754,12.5971848,55.68060519999999,12.5846997,CS5,CS19
t114,317,209,55.66597299999999,12.59799,55.6586669,12.5077994,CS5,CS82
t115,318,165,55.66731919999999,12.5978964,55.6752657,12.5457898,CS5,CS27
t116,316,342,55.6680754,12.5971848,55.68232,12.50512,CS5,CS37
t117,353,338,55.6618111,12.6036031,55.6668518,12.5033546,CS6,CS84
t118,352,252,55.66097600000001,12.6040486,55.68026529999999,12.521601,CS6,CS32
t119,352,133,55.66097600000001,12.6040486,55.64726630000001,12.5504942,CS6,CS77
t120,351,153,55.6594801,12.6064655,55.65349,12.6190323,CS6,CS4
t121,351,289,55.6594801,12.6064655,55.7057935,12.4918397,CS6,CS14
t122,353,40,55.6618111,12.6036031,55.70307010000001,12.5477824,CS6,CS54
t123,353,403,55.6618111,12.6036031,55.66721880000001,12.5839247,CS6,CS47
t124,351,347,55.6594801,12.6064655,55.678501,12.50297,CS6,CS37
t125,351,221,55.6594801,12.6064655,55.6957586,12.5502119,CS6,CS57
t126,351,414,55.6594801,12.6064655,55.6815887,12.5219717,CS6,CS39
t127,351,32,55.6594801,12.6064655,55.7115856,12.5636817,CS6,CS67
t128,352,259,55.66097600000001,12.6040486,55.6538288,12.5668578,CS6,CS46
t129,352,111,55.66097600000001,12.6040486,55.7023464,12.5359146,CS6,CS52
t130,351,381,55.6594801,12.6064655,55.6901306,12.5637778,CS6,CS60
t131,351,468,55.6594801,12.6064655,55.67283259999999,12.5514548,CS6,CS98
t132,352,120,55.66097600000001,12.6040486,55.6665697,12.5217594,CS6,CS79
t133,421,437,55.65991259999999,12.6117657,55.64460279999999,12.6107846,CS7,CS9
t134,420,358,55.65820480000001,12.6081781,55.7049953,12.5784127,CS7,CS72
t135,420,418,55.65820480000001,12.6081781,55.6792713,12.5252464,CS7,CS39
t136,421,30,55.65991259999999,12.6117657,55.7007973,12.5800157,CS7,CS66
t137,421,422,55.65991259999999,12.6117657,55.666579,12.546733,CS7,CS96
t138,421,480,55.65991259999999,12.6117657,55.6705592,12.5817682,CS7,CS48
t139,420,138,55.65820480000001,12.6081781,55.6574129,12.5668156,CS7,CS44
t140,421,435,55.65991259999999,12.6117657,55.6637771,12.62709,CS7,CS8
t141,420,165,55.65820480000001,12.6081781,55.6752657,12.5457898,CS7,CS27
t142,420,61,55.65820480000001,12.6081781,55.6305488,12.5753605,CS7,CS63
t143,421,479,55.65991259999999,12.6117657,55.7065462,12.5851694,CS7,CS75
t144,420,292,55.65820480000001,12.6081781,55.6714803,12.531117,CS7,CS35
t145,421,171,55.65991259999999,12.6117657,55.68781860000001,12.4934554,CS7,CS28
t146,420,486,55.65820480000001,12.6081781,55.656097,12.4854309,CS7,CS87
t147,434,207,55.6612039,12.626301,55.6695374,12.5242031,CS8,CS81
t148,434,390,55.6612039,12.626301,55.6677099,12.5487095,CS8,CS95
t149,431,405,55.6604348,12.6198344,55.665722,12.580919,CS8,CS47
t150,433,461,55.6615908,12.631574,55.6768672,12.5652595,CS8,CS25
t151,432,17,55.6612473,12.6213644,55.6621909,12.6031011,CS8,CS0
t152,434,418,55.6612039,12.626301,55.6792713,12.5252464,CS8,CS39
t153,434,345,55.6612039,12.626301,55.67856769999999,12.5050008,CS8,CS37
t154,432,440,55.6612473,12.6213644,55.7308866,12.5763823,CS8,CS42
t155,434,11,55.6612039,12.626301,55.6998668,12.5401155,CS8,CS51
t156,431,234,55.6604348,12.6198344,55.7083969,12.5980717,CS8,CS49
t157,432,309,55.6612473,12.6213644,55.6905288,12.5756153,CS8,CS71
t158,432,9,55.6612473,12.6213644,55.69632989999999,12.5803367,CS8,CS65
t159,431,220,55.6604348,12.6198344,55.69082179999999,12.5601599,CS8,CS57
t160,433,395,55.6615908,12.631574,55.6855334,12.5384694,CS8,CS38
t161,431,177,55.6604348,12.6198344,55.68440400000001,12.537286,CS8,CS29
t162,434,247,55.6612039,12.626301,55.67913769999999,12.5251636,CS8,CS32
t163,434,363,55.6612039,12.626301,55.6874652,12.5767806,CS8,CS23
t164,434,420,55.6612039,12.626301,55.65820480000001,12.6081781,CS8,CS7
t165,431,458,55.6604348,12.6198344,55.67290939999999,12.5593586,CS8,CS97
t166,433,307,55.6615908,12.631574,55.70461880000001,12.4997338,CS8,CS15
t167,437,20,55.64460279999999,12.6107846,55.6626693,12.6050842,CS9,CS0
t168,437,135,55.64460279999999,12.6107846,55.6537283,12.5671434,CS9,CS44
t169,436,2,55.6462823,12.5991918,55.6649085,12.577862,CS9,CS43
t170,436,380,55.6462823,12.5991918,55.67689319999999,12.5894865,CS9,CS17
t171,437,361,55.64460279999999,12.6107846,55.68999299999999,12.5773931,CS9,CS23
t172,436,342,55.6462823,12.5991918,55.68232,12.50512,CS9,CS37
t173,437,74,55.64460279999999,12.6107846,55.6714803,12.531117,CS9,CS26
t174,436,453,55.6462823,12.5991918,55.6565583,12.6040133,CS9,CS10
t175,437,274,55.64460279999999,12.6107846,55.678912,12.5083979,CS9,CS33
t176,436,101,55.6462823,12.5991918,55.68327009999999,12.5887971,CS9,CS19
t177,437,209,55.64460279999999,12.6107846,55.6586669,12.5077994,CS9,CS82
t178,436,53,55.6462823,12.5991918,55.66994820000001,12.5455333,CS9,CS92
t179,437,50,55.64460279999999,12.6107846,55.6422753,12.6158552,CS9,CS3
t180,437,33,55.64460279999999,12.6107846,55.7120052,12.5623788,CS9,CS67
t181,453,354,55.6565583,12.6040133,55.7060897,12.5807472,CS10,CS72
t182,454,25,55.66151489999999,12.6034498,55.63930200000001,12.59918,CS10,CS1
t183,454,244,55.66151489999999,12.6034498,55.7014557,12.5528088,CS10,CS58
t184,453,126,55.6565583,12.6040133,55.6950344,12.5962415,CS10,CS69
t185,454,138,55.66151489999999,12.6034498,55.6574129,12.5668156,CS10,CS44
t186,454,367,55.66151489999999,12.6034498,55.6872833,12.5907578,CS10,CS23
t187,454,198,55.66151489999999,12.6034498,55.6773069,12.577004,CS10,CS20
t188,453,282,55.6565583,12.6040133,55.71270149999999,12.5772217,CS10,CS70
t189,454,91,55.66151489999999,12.6034498,55.6840732,12.587681,CS10,CS19
t190,453,79,55.6565583,12.6040133,55.71537009999999,12.5439755,CS10,CS11
t191,454,55,55.66151489999999,12.6034498,55.6304791,12.5774163,CS10,CS63
t192,453,52,55.6565583,12.6040133,55.66982729999999,12.5461841,CS10,CS92
t193,453,23,55.6565583,12.6040133,55.6642893,12.6028591,CS10,CS0
t194,453,145,55.6565583,12.6040133,55.66695900000001,12.576411,CS10,CS45
t195,453,84,55.6565583,12.6040133,55.6508858,12.5362459,CS10,CS76
t196,78,90,55.71401419999999,12.5401313,55.683218,12.5783977,CS11,CS19
t197,80,25,55.7155986,12.5491707,55.63930200000001,12.59918,CS11,CS1
t198,78,324,55.71401419999999,12.5401313,55.6977797,12.5795082,CS11,CS40
t199,80,34,55.7155986,12.5491707,55.7075512,12.5616645,CS11,CS67
t200,79,341,55.71537009999999,12.5439755,55.67884850000001,12.5053725,CS11,CS37
t201,79,438,55.71537009999999,12.5439755,55.72596209999999,12.579064,CS11,CS42
t202,80,19,55.7155986,12.5491707,55.6651719,12.5994568,CS11,CS0
t203,78,400,55.71401419999999,12.5401313,55.6918337,12.4829461,CS11,CS91
t204,80,123,55.7155986,12.5491707,55.6535994,12.5201741,CS11,CS80
t205,79,288,55.71537009999999,12.5439755,55.70490059999999,12.4949587,CS11,CS14
t206,78,339,55.71401419999999,12.5401313,55.666562,12.506054,CS11,CS84
t207,79,200,55.71537009999999,12.5439755,55.6661265,12.5125273,CS11,CS81
t208,80,224,55.7155986,12.5491707,55.6894691,12.5581597,CS11,CS57
t209,79,153,55.71537009999999,12.5439755,55.65349,12.6190323,CS11,CS4
t210,80,373,55.7155986,12.5491707,55.673821,12.596963,CS11,CS17
t211,78,237,55.71401419999999,12.5401313,55.6780456,12.5351026,CS11,CS31
t212,184,91,55.7151574,12.5316417,55.6840732,12.587681,CS12,CS19
t213,184,46,55.7151574,12.5316417,55.70876639999999,12.5604087,CS12,CS68
t214,184,164,55.7151574,12.5316417,55.6732808,12.545105,CS12,CS27
t215,185,481,55.714838,12.5316772,55.67015290000001,12.5861693,CS12,CS48
t216,185,23,55.714838,12.5316772,55.6642893,12.6028591,CS12,CS0
t217,187,141,55.717112,12.5377588,55.6892223,12.4915083,CS12,CS88
t218,187,470,55.717112,12.5377588,55.6620442,12.5196884,CS12,CS86
t219,185,51,55.714838,12.5316772,55.6400501,12.6176269,CS12,CS3
t220,185,276,55.714838,12.5316772,55.66577729999999,12.5661667,CS12,CS93
t221,184,380,55.7151574,12.5316417,55.67689319999999,12.5894865,CS12,CS17
t222,184,172,55.7151574,12.5316417,55.6855126,12.5000493,CS12,CS28
t223,184,66,55.7151574,12.5316417,55.6897342,12.5601575,CS12,CS55
t224,185,398,55.714838,12.5316772,55.6927641,12.4818742,CS12,CS91
t225,187,123,55.717112,12.5377588,55.6535994,12.5201741,CS12,CS80
t226,185,263,55.714838,12.5316772,55.6576191,12.566949,CS12,CS46
t227,187,337,55.717112,12.5377588,55.7108917,12.5961037,CS12,CS50
t228,184,440,55.7151574,12.5316417,55.7308866,12.5763823,CS12,CS42
t229,185,356,55.714838,12.5316772,55.7058809,12.5760601,CS12,CS72
t230,218,354,55.6957051,12.5019958,55.7060897,12.5807472,CS13,CS72
t231,217,462,55.6944184,12.5088552,55.67874,12.5667718,CS13,CS25
t232,218,129,55.6957051,12.5019958,55.6468795,12.549825,CS13,CS77
t233,217,392,55.6944184,12.5088552,55.6687241,12.5577011,CS13,CS95
t234,217,326,55.6944184,12.5088552,55.6989098,12.5792272,CS13,CS40
t235,217,70,55.6944184,12.5088552,55.6880664,12.5605113,CS13,CS55
t236,218,349,55.6957051,12.5019958,55.6901224,12.5608252,CS13,CS59
t237,217,30,55.6944184,12.5088552,55.7007973,12.5800157,CS13,CS66
t238,218,48,55.6957051,12.5019958,55.64114410000001,12.6160056,CS13,CS3
t239,217,181,55.6944184,12.5088552,55.67933559999999,12.5329958,CS13,CS29
t240,217,352,55.6944184,12.5088552,55.66097600000001,12.6040486,CS13,CS6
t241,218,123,55.6957051,12.5019958,55.6535994,12.5201741,CS13,CS80
t242,218,280,55.6957051,12.5019958,55.67087910000001,12.5321135,CS13,CS34
t243,218,473,55.6957051,12.5019958,55.6998665,12.5530057,CS13,CS62
t244,285,260,55.70682619999999,12.4906857,55.66118119999999,12.5606224,CS14,CS46
t245,285,354,55.70682619999999,12.4906857,55.7060897,12.5807472,CS14,CS72
t246,289,207,55.7057935,12.4918397,55.6695374,12.5242031,CS14,CS81
t247,286,16,55.70434069999999,12.4992374,55.6669546,12.6034848,CS14,CS0
t248,288,211,55.70490059999999,12.4949587,55.69017659999999,12.5168455,CS14,CS30
t249,287,276,55.70518560000001,12.4953649,55.66577729999999,12.5661667,CS14,CS93
t250,288,239,55.70490059999999,12.4949587,55.678683,12.5336551,CS14,CS31
t251,287,234,55.70518560000001,12.4953649,55.7083969,12.5980717,CS14,CS49
t252,287,366,55.70518560000001,12.4953649,55.6852561,12.5830594,CS14,CS23
t253,287,479,55.70518560000001,12.4953649,55.7065462,12.5851694,CS14,CS75
t254,286,270,55.70434069999999,12.4992374,55.6786004,12.4983089,CS14,CS33
t255,287,474,55.70518560000001,12.4953649,55.7009458,12.5414999,CS14,CS62
t256,285,319,55.70682619999999,12.4906857,55.6763127,12.5702264,CS14,CS22
t257,285,369,55.70682619999999,12.4906857,55.6933072,12.5116462,CS14,CS90
t258,286,291,55.70434069999999,12.4992374,55.67068200000001,12.5317477,CS14,CS35
t259,289,283,55.7057935,12.4918397,55.7123504,12.5772942,CS14,CS70
t260,285,309,55.70682619999999,12.4906857,55.6905288,12.5756153,CS14,CS71
t261,285,315,55.70682619999999,12.4906857,55.66599869999999,12.5103907,CS14,CS83
t262,288,186,55.70490059999999,12.4949587,55.7151574,12.5316417,CS14,CS12
t263,285,173,55.70682619999999,12.4906857,55.6852167,12.5009996,CS14,CS28
t264,306,119,55.70511709999999,12.5033817,55.66907380000001,12.5169694,CS15,CS79
t265,306,91,55.70511709999999,12.5033817,55.6840732,12.587681,CS15,CS19
t266,307,317,55.70461880000001,12.4997338,55.66597299999999,12.59799,CS15,CS5
t267,306,275,55.70511709999999,12.5033817,55.67891789999999,12.5085983,CS15,CS33
t268,307,160,55.70461880000001,12.4997338,55.6737346,12.550013,CS15,CS27
t269,307,404,55.70461880000001,12.4997338,55.66695900000001,12.576411,CS15,CS47
t270,306,175,55.70511709999999,12.5033817,55.68436639999999,12.5358129,CS15,CS29
t271,307,286,55.70461880000001,12.4997338,55.70434069999999,12.4992374,CS15,CS14
t272,307,74,55.70461880000001,12.4997338,55.6714803,12.531117,CS15,CS26
t273,306,140,55.70511709999999,12.5033817,55.69077309999999,12.4880827,CS15,CS88
t274,307,31,55.70461880000001,12.4997338,55.7013069,12.5805235,CS15,CS66
t275,307,207,55.70461880000001,12.4997338,55.6695374,12.5242031,CS15,CS81
t276,306,455,55.70511709999999,12.5033817,55.7131178,12.5737109,CS15,CS74
t277,307,365,55.70461880000001,12.4997338,55.68577089999999,12.5890868,CS15,CS23
t278,227,365,55.6815622,12.6035183,55.68577089999999,12.5890868,CS16,CS23
t279,227,262,55.6815622,12.6035183,55.6577354,12.5674223,CS16,CS46
t280,229,336,55.6794741,12.6052664,55.713568,12.5927798,CS16,CS50
t281,228,152,55.6800576,12.6020544,55.65418699999999,12.6157299,CS16,CS4
t282,227,275,55.6815622,12.6035183,55.67891789999999,12.5085983,CS16,CS33
t283,228,63,55.6800576,12.6020544,55.630171,12.576398,CS16,CS63
t284,229,100,55.6794741,12.6052664,55.68262219999999,12.5861519,CS16,CS19
t285,229,432,55.6794741,12.6052664,55.6612473,12.6213644,CS16,CS8
t286,228,400,55.6800576,12.6020544,55.6918337,12.4829461,CS16,CS91
t287,227,13,55.6815622,12.6035183,55.70045789999999,12.5387493,CS16,CS51
t288,229,30,55.6794741,12.6052664,55.7007973,12.5800157,CS16,CS66
t289,229,76,55.6794741,12.6052664,55.67451390000001,12.5320843,CS16,CS26
t290,228,182,55.6800576,12.6020544,55.6864931,12.5342083,CS16,CS29
t291,229,46,55.6794741,12.6052664,55.70876639999999,12.5604087,CS16,CS68
t292,227,3,55.6815622,12.6035183,55.6643248,12.5805269,CS16,CS43
t293,227,465,55.6815622,12.6035183,55.6785562,12.5691704,CS16,CS25
t294,375,180,55.6719075,12.5927255,55.682021,12.532044,CS17,CS29
t295,376,481,55.6738489,12.5917462,55.67015290000001,12.5861693,CS17,CS48
t296,372,191,55.6755729,12.5931545,55.6743505,12.5724863,CS17,CS20
t297,379,420,55.6728308,12.6002744,55.65820480000001,12.6081781,CS17,CS7
t298,373,451,55.673821,12.596963,55.7089821,12.5582244,CS17,CS73
t299,379,409,55.6728308,12.6002744,55.69790500000001,12.543682,CS17,CS61
t300,375,350,55.6719075,12.5927255,55.68907400000001,12.5646049,CS17,CS59
t301,372,113,55.6755729,12.5931545,55.7027771,12.5381526,CS17,CS52
t302,377,50,55.67242719999999,12.590134,55.6422753,12.6158552,CS17,CS3
t303,374,271,55.6739744,12.5915373,55.678734,12.5101649,CS17,CS33
t304,379,398,55.6728308,12.6002744,55.6927641,12.4818742,CS17,CS91
t305,376,352,55.6738489,12.5917462,55.66097600000001,12.6040486,CS17,CS6
t306,375,203,55.6719075,12.5927255,55.66584649999999,12.5114656,CS17,CS81
t307,376,210,55.6738489,12.5917462,55.6576106,12.5138704,CS17,CS82
t308,374,150,55.6739744,12.5915373,55.65443579999999,12.6109197,CS17,CS4
t309,376,384,55.6738489,12.5917462,55.6901224,12.5608252,CS17,CS60
t310,374,15,55.6739744,12.5915373,55.700097,12.540309,CS17,CS51
t311,376,68,55.6738489,12.5917462,55.685498,12.56654,CS17,CS55
t312,374,0,55.6739744,12.5915373,55.665722,12.580919,CS17,CS43
t313,379,304,55.6728308,12.6002744,55.68668959999999,12.5403569,CS17,CS36
t314,376,394,55.6738489,12.5917462,55.6835348,12.536428,CS17,CS38
t315,374,428,55.6739744,12.5915373,55.67983100000001,12.592508,CS17,CS18
t316,378,99,55.671653,12.5900113,55.6794028,12.5805661,CS17,CS19
t317,375,317,55.6719075,12.5927255,55.66597299999999,12.59799,CS17,CS5
t318,372,29,55.6755729,12.5931545,55.7029997,12.5776839,CS17,CS66
t319,374,254,55.6739744,12.5915373,55.67933559999999,12.5329958,CS17,CS32
t320,373,461,55.673821,12.596963,55.6768672,12.5652595,CS17,CS25
t321,379,123,55.6728308,12.6002744,55.6535994,12.5201741,CS17,CS80
t322,379,219,55.6728308,12.6002744,55.6915781,12.5584743,CS17,CS57
t323,426,384,55.6781016,12.5890488,55.6901224,12.5608252,CS18,CS60
t324,426,144,55.6781016,12.5890488,55.66721880000001,12.5839247,CS18,CS45
t325,428,208,55.67983100000001,12.592508,55.6576106,12.5138704,CS18,CS82
t326,428,191,55.67983100000001,12.592508,55.6743505,12.5724863,CS18,CS20
t327,428,124,55.67983100000001,12.592508,55.6542831,12.5168315,CS18,CS80
t328,430,128,55.6799765,12.5916691,55.6991926,12.5948406,CS18,CS69
t329,427,475,55.6755729,12.5931545,55.70307010000001,12.5477824,CS18,CS62
t330,429,458,55.6781016,12.5890488,55.67290939999999,12.5593586,CS18,CS97
t331,428,157,55.67983100000001,12.592508,55.6757724,12.5426171,CS18,CS27
t332,426,43,55.6781016,12.5890488,55.66034659999999,12.6124427,CS18,CS2
t333,427,245,55.6755729,12.5931545,55.7041528,12.5494912,CS18,CS58
t334,427,116,55.6755729,12.5931545,55.6665095,12.5148662,CS18,CS79
t335,428,37,55.67983100000001,12.592508,55.7126366,12.5613832,CS18,CS67
t336,426,27,55.6781016,12.5890488,55.6400112,12.5990241,CS18,CS1
t337,429,218,55.6781016,12.5890488,55.6957051,12.5019958,CS18,CS13
t338,430,177,55.6799765,12.5916691,55.68440400000001,12.537286,CS18,CS29
t339,430,58,55.6799765,12.5916691,55.6310958,12.5784731,CS18,CS63
t340,429,205,55.6781016,12.5890488,55.6610386,12.5190101,CS18,CS81
t341,428,240,55.67983100000001,12.592508,55.6813386,12.5932285,CS18,CS21
t342,428,407,55.67983100000001,12.592508,55.6945457,12.5475868,CS18,CS61
t343,96,78,55.6804058,12.5894617,55.71401419999999,12.5401313,CS19,CS11
t344,90,308,55.683218,12.5783977,55.6900178,12.5751697,CS19,CS71
t345,90,163,55.683218,12.5783977,55.6740966,12.5500677,CS19,CS27
t346,89,375,55.6845583,12.5834111,55.6719075,12.5927255,CS19,CS17
t347,88,272,55.6831332,12.5827597,55.678501,12.50297,CS19,CS33
