css_o,css_d,distance,duration
CS1,CS78,5.9 km,13 mins
CS1,CS79,8.2 km,19 mins
CS1,CS80,8.1 km,17 mins
CS1,CS81,7.9 km,18 mins
CS1,CS82,7.8 km,15 mins
CS1,CS83,8.1 km,18 mins
CS1,CS84,8.8 km,21 mins
CS1,CS85,10.7 km,21 mins
CS1,CS86,7.6 km,17 mins
CS1,CS87,9.1 km,19 mins
CS1,CS88,24.8 km,23 mins
CS1,CS89,25.2 km,24 mins
CS1,CS90,11.1 km,24 mins
CS1,CS91,24.4 km,22 mins
CS1,CS92,7.0 km,15 mins
CS1,CS93,7.3 km,14 mins
CS1,CS94,6.6 km,15 mins
CS1,CS95,7.2 km,17 mins
CS1,CS96,6.4 km,15 mins
CS1,CS97,6.4 km,15 mins
CS1,CS98,6.8 km,15 mins
CS1,CS99,7.5 km,18 mins
CS2,CS0,1.2 km,4 mins
CS2,CS1,3.1 km,8 mins
CS2,CS3,3.4 km,9 mins
CS2,CS4,1.3 km,4 mins
CS2,CS5,1.5 km,5 mins
CS2,CS6,1.1 km,4 mins
CS2,CS7,0.9 km,3 mins
CS2,CS8,0.8 km,2 mins
CS2,CS9,2.6 km,7 mins
CS2,CS10,1.5 km,6 mins
CS2,CS11,9.3 km,24 mins
CS2,CS12,10.3 km,23 mins
CS2,CS13,9.2 km,22 mins
CS2,CS14,10.7 km,24 mins
CS2,CS15,10.2 km,24 mins
CS2,CS16,3.1 km,11 mins
CS2,CS17,2.3 km,8 mins
CS2,CS18,2.6 km,8 mins
CS2,CS19,4.1 km,14 mins
CS2,CS20,3.5 km,10 mins
CS2,CS21,3.4 km,11 mins
CS2,CS22,3.9 km,13 mins
CS2,CS23,5.4 km,16 mins
CS2,CS24,4.1 km,14 mins
CS2,CS25,4.4 km,12 mins
CS2,CS26,6.3 km,20 mins
CS2,CS27,5.4 km,16 mins
CS2,CS28,8.8 km,26 mins
CS2,CS29,6.7 km,18 mins
CS2,CS30,7.4 km,21 mins
CS2,CS31,6.0 km,18 mins
CS2,CS32,7.3 km,20 mins
CS2,CS33,8.1 km,23 mins
CS2,CS34,6.5 km,19 mins
CS2,CS35,6.1 km,19 mins
CS2,CS36,7.3 km,19 mins
CS2,CS37,8.6 km,23 mins
CS2,CS38,6.4 km,17 mins
CS2,CS39,7.1 km,21 mins
CS2,CS40,5.9 km,18 mins
CS2,CS41,10.2 km,26 mins
CS2,CS42,9.4 km,24 mins
CS2,CS43,3.0 km,10 mins
CS2,CS44,4.4 km,12 mins
CS2,CS45,2.9 km,9 mins
CS2,CS46,4.3 km,12 mins
CS2,CS47,3.2 km,10 mins
CS2,CS48,2.9 km,8 mins
CS2,CS49,7.0 km,20 mins
CS2,CS50,7.4 km,20 mins
CS2,CS51,8.5 km,20 mins
CS2,CS52,8.0 km,21 mins
CS2,CS53,8.2 km,20 mins
CS2,CS54,7.7 km,21 mins
CS2,CS55,5.5 km,16 mins
CS2,CS56,6.4 km,17 mins
CS2,CS57,6.3 km,19 mins
CS2,CS58,7.6 km,21 mins
CS2,CS59,5.6 km,17 mins
CS2,CS60,5.9 km,17 mins
CS2,CS61,7.0 km,19 mins
CS2,CS62,7.7 km,21 mins
CS2,CS63,5.7 km,14 mins
CS2,CS64,6.7 km,17 mins
CS2,CS65,5.8 km,18 mins
CS2,CS66,6.3 km,20 mins
CS2,CS67,8.4 km,22 mins
CS2,CS68,8.3 km,22 mins
CS2,CS69,5.7 km,17 mins
CS2,CS70,8.4 km,22 mins
CS2,CS71,5.9 km,16 mins
CS2,CS72,6.4 km,20 mins
CS2,CS73,8.4 km,22 mins
CS2,CS74,7.9 km,24 mins
CS2,CS75,7.2 km,20 mins
CS2,CS76,8.2 km,18 mins
CS2,CS77,7.2 km,15 mins
CS2,CS78,9.1 km,20 mins
CS2,CS79,7.7 km,22 mins
CS2,CS80,8.8 km,23 mins
CS2,CS81,7.4 km,21 mins
CS2,CS82,7.9 km,20 mins
CS2,CS83,8.1 km,21 mins
CS2,CS84,8.8 km,24 mins
CS2,CS85,9.3 km,25 mins
CS2,CS86,7.6 km,20 mins
CS2,CS87,9.6 km,24 mins
CS2,CS88,10.4 km,25 mins
CS2,CS89,10.3 km,27 mins
CS2,CS90,9.0 km,21 mins
CS2,CS91,10.6 km,25 mins
CS2,CS92,5.6 km,17 mins
CS2,CS93,4.0 km,11 mins
CS2,CS94,4.4 km,13 mins
CS2,CS95,5.2 km,16 mins
CS2,CS96,6.0 km,17 mins
CS2,CS97,4.3 km,13 mins
CS2,CS98,5.3 km,16 mins
CS2,CS99,5.0 km,16 mins
CS3,CS0,3.0 km,11 mins
CS3,CS1,1.3 km,3 mins
CS3,CS2,3.4 km,9 mins
CS3,CS4,1.8 km,5 mins
CS3,CS5,3.5 km,12 mins
CS3,CS6,3.2 km,10 mins
CS3,CS7,2.3 km,7 mins
CS3,CS8,3.5 km,8 mins
CS3,CS9,1.3 km,3 mins
CS3,CS10,3.0 km,8 mins
CS3,CS11,11.0 km,30 mins
CS3,CS12,11.9 km,29 mins
CS3,CS13,10.8 km,27 mins
CS3,CS14,12.4 km,30 mins
CS3,CS15,11.8 km,30 mins
CS3,CS16,5.0 km,17 mins
CS3,CS17,4.2 km,14 mins
CS3,CS18,4.4 km,14 mins
CS3,CS19,6.0 km,21 mins
CS3,CS20,5.2 km,16 mins
CS3,CS21,5.2 km,17 mins
CS3,CS22,5.8 km,19 mins
CS3,CS23,7.2 km,23 mins
CS3,CS24,6.0 km,20 mins
CS3,CS25,6.0 km,18 mins
CS3,CS26,8.9 km,21 mins
CS3,CS27,8.5 km,19 mins
CS3,CS28,12.4 km,28 mins
CS3,CS29,8.3 km,23 mins
CS3,CS30,9.1 km,27 mins
CS3,CS31,9.3 km,21 mins
CS3,CS32,9.9 km,23 mins
CS3,CS33,11.4 km,25 mins
CS3,CS34,9.0 km,20 mins
CS3,CS35,9.2 km,21 mins
CS3,CS36,8.9 km,24 mins
CS3,CS37,11.1 km,25 mins
CS3,CS38,8.0 km,23 mins
CS3,CS39,10.3 km,23 mins
CS3,CS40,7.8 km,24 mins
CS3,CS41,12.1 km,33 mins
CS3,CS42,11.3 km,30 mins
CS3,CS43,6.3 km,12 mins
CS3,CS44,5.9 km,13 mins
CS3,CS45,4.7 km,11 mins
CS3,CS46,5.7 km,12 mins
CS3,CS47,6.5 km,13 mins
CS3,CS48,5.1 km,13 mins
CS3,CS49,8.9 km,26 mins
CS3,CS50,9.2 km,26 mins
CS3,CS51,10.1 km,26 mins
CS3,CS52,9.7 km,27 mins
CS3,CS53,9.9 km,26 mins
CS3,CS54,9.4 km,27 mins
CS3,CS55,7.2 km,22 mins
CS3,CS56,8.0 km,22 mins
CS3,CS57,7.9 km,25 mins
CS3,CS58,9.3 km,26 mins
CS3,CS59,7.2 km,22 mins
CS3,CS60,7.5 km,23 mins
CS3,CS61,8.7 km,25 mins
CS3,CS62,9.4 km,26 mins
CS3,CS63,3.9 km,10 mins
CS3,CS64,4.9 km,13 mins
CS3,CS65,7.7 km,24 mins
CS3,CS66,8.2 km,26 mins
CS3,CS67,10.0 km,28 mins
CS3,CS68,10.0 km,28 mins
CS3,CS69,7.5 km,23 mins
CS3,CS70,10.3 km,29 mins
CS3,CS71,7.5 km,22 mins
CS3,CS72,8.3 km,26 mins
CS3,CS73,10.1 km,28 mins
CS3,CS74,10.8 km,30 mins
CS3,CS75,9.0 km,26 mins
CS3,CS76,6.4 km,14 mins
CS3,CS77,5.4 km,11 mins
CS3,CS78,7.3 km,16 mins
CS3,CS79,9.5 km,22 mins
CS3,CS80,9.4 km,20 mins
CS3,CS81,9.3 km,21 mins
CS3,CS82,9.1 km,18 mins
CS3,CS83,9.4 km,21 mins
CS3,CS84,10.1 km,24 mins
CS3,CS85,12.0 km,25 mins
CS3,CS86,8.9 km,20 mins
CS3,CS87,10.4 km,22 mins
CS3,CS88,26.1 km,26 mins
CS3,CS89,26.5 km,27 mins
CS3,CS90,10.6 km,27 mins
CS3,CS91,25.7 km,26 mins
CS3,CS92,8.3 km,19 mins
CS3,CS93,5.7 km,17 mins
CS3,CS94,6.1 km,18 mins
CS3,CS95,8.6 km,20 mins
CS3,CS96,7.7 km,18 mins
CS3,CS97,5.9 km,19 mins
CS3,CS98,8.1 km,18 mins
CS3,CS99,8.8 km,21 mins
CS4,CS0,2.0 km,8 mins
CS4,CS1,2.4 km,6 mins
CS4,CS2,1.3 km,4 mins
CS4,CS3,2.2 km,6 mins
CS4,CS5,2.5 km,9 mins
CS4,CS6,2.4 km,7 mins
CS4,CS7,1.3 km,3 mins
CS4,CS8,1.5 km,3 mins
CS4,CS9,2.0 km,5 mins
CS4,CS10,1.8 km,5 mins
CS4,CS11,10.7 km,27 mins
CS4,CS12,11.6 km,26 mins
CS4,CS13,10.5 km,24 mins
CS4,CS14,12.1 km,26 mins
CS4,CS15,11.5 km,27 mins
CS4,CS16,4.0 km,14 mins
CS4,CS17,3.2 km,11 mins
CS4,CS18,3.4 km,11 mins
CS4,CS19,5.0 km,18 mins
CS4,CS20,4.9 km,12 mins
CS4,CS21,4.2 km,14 mins
CS4,CS22,5.5 km,15 mins
CS4,CS23,7.2 km,20 mins
CS4,CS24,5.0 km,17 mins
CS4,CS25,5.7 km,15 mins
CS4,CS26,7.7 km,22 mins
CS4,CS27,6.7 km,19 mins
CS4,CS28,10.2 km,29 mins
CS4,CS29,8.0 km,20 mins
CS4,CS30,8.8 km,24 mins
CS4,CS31,7.3 km,20 mins
CS4,CS32,8.6 km,22 mins
CS4,CS33,9.4 km,26 mins
CS4,CS34,7.8 km,22 mins
CS4,CS35,7.4 km,21 mins
CS4,CS36,8.6 km,21 mins
CS4,CS37,9.9 km,26 mins
CS4,CS38,7.7 km,19 mins
CS4,CS39,8.4 km,23 mins
CS4,CS40,8.2 km,22 mins
CS4,CS41,11.1 km,30 mins
CS4,CS42,10.3 km,27 mins
CS4,CS43,3.7 km,10 mins
CS4,CS44,5.0 km,13 mins
CS4,CS45,3.5 km,9 mins
CS4,CS46,4.9 km,12 mins
CS4,CS47,3.8 km,10 mins
CS4,CS48,3.9 km,10 mins
CS4,CS49,7.9 km,23 mins
CS4,CS50,8.2 km,23 mins
CS4,CS51,9.8 km,22 mins
CS4,CS52,9.4 km,23 mins
CS4,CS53,9.6 km,23 mins
CS4,CS54,9.1 km,23 mins
CS4,CS55,6.9 km,18 mins
CS4,CS56,7.7 km,19 mins
CS4,CS57,7.6 km,21 mins
CS4,CS58,9.0 km,23 mins
CS4,CS59,6.9 km,19 mins
CS4,CS60,7.2 km,20 mins
CS4,CS61,8.4 km,21 mins
CS4,CS62,9.1 km,23 mins
CS4,CS63,5.0 km,11 mins
CS4,CS64,6.0 km,15 mins
CS4,CS65,8.1 km,21 mins
CS4,CS66,8.6 km,23 mins
CS4,CS67,9.7 km,25 mins
CS4,CS68,9.7 km,25 mins
CS4,CS69,6.5 km,20 mins
CS4,CS70,9.3 km,26 mins
CS4,CS71,7.2 km,19 mins
CS4,CS72,8.6 km,23 mins
CS4,CS73,9.8 km,25 mins
CS4,CS74,10.5 km,27 mins
CS4,CS75,8.0 km,24 mins
CS4,CS76,7.5 km,15 mins
CS4,CS77,6.5 km,13 mins
CS4,CS78,8.4 km,17 mins
CS4,CS79,10.7 km,24 mins
CS4,CS80,10.6 km,22 mins
CS4,CS81,10.4 km,23 mins
CS4,CS82,10.2 km,20 mins
CS4,CS83,10.5 km,23 mins
CS4,CS84,11.3 km,26 mins
CS4,CS85,10.6 km,27 mins
CS4,CS86,8.9 km,22 mins
CS4,CS87,11.5 km,24 mins
CS4,CS88,11.7 km,27 mins
CS4,CS89,11.6 km,29 mins
CS4,CS90,10.3 km,24 mins
CS4,CS91,12.0 km,28 mins
CS4,CS92,6.9 km,19 mins
CS4,CS93,5.4 km,14 mins
CS4,CS94,5.8 km,15 mins
CS4,CS95,6.6 km,19 mins
CS4,CS96,8.8 km,20 mins
CS4,CS97,5.6 km,16 mins
CS4,CS98,6.7 km,18 mins
CS4,CS99,6.3 km,18 mins
CS5,CS0,0.9 km,5 mins
CS5,CS1,3.8 km,10 mins
CS5,CS2,1.4 km,5 mins
CS5,CS3,3.7 km,12 mins
CS5,CS4,2.4 km,8 mins
CS5,CS6,1.0 km,4 mins
CS5,CS7,1.5 km,6 mins
CS5,CS8,2.2 km,6 mins
CS5,CS9,3.0 km,10 mins
CS5,CS10,1.3 km,5 mins
CS5,CS11,8.0 km,21 mins
CS5,CS12,9.0 km,20 mins
CS5,CS13,7.9 km,18 mins
CS5,CS14,9.4 km,21 mins
CS5,CS15,8.9 km,21 mins
CS5,CS16,1.8 km,7 mins
CS5,CS17,1.0 km,5 mins
CS5,CS18,1.3 km,5 mins
CS5,CS19,2.8 km,11 mins
CS5,CS20,2.2 km,7 mins
CS5,CS21,2.1 km,8 mins
CS5,CS22,2.8 km,10 mins
CS5,CS23,4.1 km,13 mins
CS5,CS24,2.8 km,11 mins
CS5,CS25,3.1 km,9 mins
CS5,CS26,5.0 km,16 mins
CS5,CS27,4.1 km,13 mins
CS5,CS28,7.5 km,23 mins
CS5,CS29,5.3 km,14 mins
CS5,CS30,6.1 km,18 mins
CS5,CS31,4.6 km,15 mins
CS5,CS32,6.0 km,17 mins
CS5,CS33,6.8 km,20 mins
CS5,CS34,5.2 km,16 mins
CS5,CS35,4.8 km,16 mins
CS5,CS36,6.0 km,16 mins
CS5,CS37,7.2 km,20 mins
CS5,CS38,5.1 km,14 mins
CS5,CS39,5.8 km,18 mins
CS5,CS40,4.6 km,15 mins
CS5,CS41,8.9 km,23 mins
CS5,CS42,8.1 km,21 mins
CS5,CS43,1.9 km,7 mins
CS5,CS44,3.1 km,9 mins
CS5,CS45,1.8 km,7 mins
CS5,CS46,3.0 km,8 mins
CS5,CS47,2.1 km,7 mins
CS5,CS48,1.6 km,5 mins
CS5,CS49,5.7 km,16 mins
CS5,CS50,6.1 km,17 mins
CS5,CS51,7.1 km,17 mins
CS5,CS52,6.7 km,18 mins
CS5,CS53,6.9 km,17 mins
CS5,CS54,6.4 km,18 mins
CS5,CS55,4.2 km,13 mins
CS5,CS56,5.1 km,14 mins
CS5,CS57,4.9 km,16 mins
CS5,CS58,6.3 km,17 mins
CS5,CS59,4.2 km,13 mins
CS5,CS60,4.6 km,14 mins
CS5,CS61,5.7 km,16 mins
CS5,CS62,6.4 km,18 mins
CS5,CS63,5.4 km,13 mins
CS5,CS64,6.3 km,17 mins
CS5,CS65,4.5 km,14 mins
CS5,CS66,5.0 km,16 mins
CS5,CS67,7.1 km,19 mins
CS5,CS68,7.0 km,19 mins
CS5,CS69,4.4 km,14 mins
CS5,CS70,7.1 km,19 mins
CS5,CS71,4.6 km,13 mins
CS5,CS72,5.1 km,16 mins
CS5,CS73,7.1 km,19 mins
CS5,CS74,6.6 km,21 mins
CS5,CS75,5.9 km,17 mins
CS5,CS76,5.8 km,15 mins
CS5,CS77,6.2 km,15 mins
CS5,CS78,6.6 km,16 mins
CS5,CS79,6.4 km,19 mins
CS5,CS80,7.5 km,20 mins
CS5,CS81,6.1 km,18 mins
CS5,CS82,6.6 km,17 mins
CS5,CS83,6.8 km,18 mins
CS5,CS84,7.5 km,21 mins
CS5,CS85,8.0 km,21 mins
CS5,CS86,6.3 km,17 mins
CS5,CS87,8.3 km,21 mins
CS5,CS88,9.1 km,22 mins
CS5,CS89,9.0 km,24 mins
CS5,CS90,7.7 km,18 mins
CS5,CS91,9.3 km,22 mins
CS5,CS92,4.3 km,13 mins
CS5,CS93,2.7 km,8 mins
CS5,CS94,3.1 km,10 mins
CS5,CS95,3.9 km,13 mins
CS5,CS96,4.6 km,14 mins
CS5,CS97,3.0 km,10 mins
CS5,CS98,4.0 km,13 mins
CS5,CS99,3.6 km,13 mins
CS6,CS0,0.8 km,5 mins
CS6,CS1,2.8 km,8 mins
CS6,CS2,1.0 km,4 mins
CS6,CS3,3.0 km,10 mins
CS6,CS4,1.8 km,6 mins
CS6,CS5,1.3 km,6 mins
CS6,CS7,0.6 km,2 mins
CS6,CS8,1.3 km,4 mins
CS6,CS9,2.4 km,7 mins
CS6,CS10,0.7 km,3 mins
CS6,CS11,8.8 km,24 mins
CS6,CS12,9.7 km,23 mins
CS6,CS13,8.6 km,21 mins
CS6,CS14,10.1 km,24 mins
CS6,CS15,9.6 km,24 mins
CS6,CS16,2.7 km,11 mins
CS6,CS17,1.9 km,8 mins
CS6,CS18,2.2 km,8 mins
CS6,CS19,3.8 km,15 mins
CS6,CS20,2.9 km,10 mins
CS6,CS21,3.0 km,11 mins
CS6,CS22,3.6 km,13 mins
CS6,CS23,5.0 km,17 mins
CS6,CS24,3.7 km,14 mins
CS6,CS25,3.8 km,12 mins
CS6,CS26,5.8 km,19 mins
CS6,CS27,4.8 km,16 mins
CS6,CS28,8.2 km,26 mins
CS6,CS29,6.1 km,17 mins
CS6,CS30,6.8 km,21 mins
CS6,CS31,5.4 km,18 mins
CS6,CS32,6.7 km,19 mins
CS6,CS33,7.5 km,23 mins
CS6,CS34,5.9 km,19 mins
CS6,CS35,5.5 km,18 mins
CS6,CS36,6.7 km,18 mins
CS6,CS37,8.0 km,23 mins
CS6,CS38,5.8 km,17 mins
CS6,CS39,6.5 km,21 mins
CS6,CS40,5.6 km,18 mins
CS6,CS41,9.9 km,27 mins
CS6,CS42,9.0 km,24 mins
CS6,CS43,2.5 km,8 mins
CS6,CS44,3.8 km,11 mins
CS6,CS45,2.3 km,8 mins
CS6,CS46,3.6 km,11 mins
CS6,CS47,2.6 km,9 mins
CS6,CS48,2.3 km,8 mins
CS6,CS49,6.6 km,20 mins
CS6,CS50,7.0 km,20 mins
CS6,CS51,7.9 km,20 mins
CS6,CS52,7.5 km,21 mins
CS6,CS53,7.6 km,20 mins
CS6,CS54,7.1 km,21 mins
CS6,CS55,4.9 km,15 mins
CS6,CS56,5.8 km,16 mins
CS6,CS57,5.7 km,18 mins
CS6,CS58,7.1 km,20 mins
CS6,CS59,5.0 km,16 mins
CS6,CS60,5.3 km,17 mins
CS6,CS61,6.4 km,19 mins
CS6,CS62,7.1 km,20 mins
CS6,CS63,5.1 km,12 mins
CS6,CS64,6.0 km,16 mins
CS6,CS65,5.5 km,18 mins
CS6,CS66,6.0 km,20 mins
CS6,CS67,7.8 km,22 mins
CS6,CS68,7.8 km,22 mins
CS6,CS69,5.3 km,17 mins
CS6,CS70,8.1 km,23 mins
CS6,CS71,5.3 km,16 mins
CS6,CS72,6.0 km,20 mins
CS6,CS73,7.8 km,22 mins
CS6,CS74,8.6 km,24 mins
CS6,CS75,6.8 km,20 mins
CS6,CS76,7.5 km,17 mins
CS6,CS77,6.5 km,14 mins
CS6,CS78,8.4 km,19 mins
CS6,CS79,7.1 km,22 mins
CS6,CS80,8.3 km,23 mins
CS6,CS81,6.8 km,21 mins
CS6,CS82,7.3 km,20 mins
CS6,CS83,7.5 km,21 mins
CS6,CS84,8.2 km,23 mins
CS6,CS85,8.7 km,24 mins
CS6,CS86,7.0 km,20 mins
CS6,CS87,9.1 km,24 mins
CS6,CS88,9.8 km,25 mins
CS6,CS89,9.7 km,26 mins
CS6,CS90,8.4 km,21 mins
CS6,CS91,10.0 km,25 mins
CS6,CS92,5.0 km,16 mins
CS6,CS93,3.5 km,11 mins
CS6,CS94,3.9 km,12 mins
CS6,CS95,4.6 km,16 mins
CS6,CS96,5.4 km,16 mins
CS6,CS97,3.7 km,13 mins
CS6,CS98,4.8 km,15 mins
CS6,CS99,4.4 km,15 mins
CS7,CS0,1.2 km,5 mins
CS7,CS1,2.3 km,7 mins
CS7,CS2,0.9 km,4 mins
CS7,CS3,2.6 km,9 mins
CS7,CS4,1.3 km,3 mins
CS7,CS5,1.5 km,6 mins
CS7,CS6,1.1 km,4 mins
CS7,CS8,1.2 km,4 mins
CS7,CS9,1.9 km,6 mins
CS7,CS10,0.8 km,3 mins
CS7,CS11,9.0 km,25 mins
CS7,CS12,9.9 km,24 mins
CS7,CS13,8.9 km,22 mins
CS7,CS14,10.4 km,24 mins
CS7,CS15,9.8 km,25 mins
CS7,CS16,3.0 km,12 mins
CS7,CS17,2.2 km,9 mins
CS7,CS18,2.4 km,9 mins
CS7,CS19,4.0 km,16 mins
CS7,CS20,3.2 km,11 mins
CS7,CS21,3.2 km,12 mins
CS7,CS22,3.8 km,13 mins
CS7,CS23,5.2 km,17 mins
CS7,CS24,4.0 km,15 mins
CS7,CS25,4.1 km,13 mins
CS7,CS26,6.0 km,20 mins
CS7,CS27,5.1 km,17 mins
CS7,CS28,8.5 km,27 mins
CS7,CS29,6.3 km,18 mins
CS7,CS30,7.1 km,22 mins
CS7,CS31,5.6 km,19 mins
CS7,CS32,7.0 km,20 mins
CS7,CS33,7.7 km,24 mins
CS7,CS34,6.1 km,20 mins
CS7,CS35,5.8 km,19 mins
CS7,CS36,6.9 km,19 mins
CS7,CS37,8.2 km,24 mins
CS7,CS38,6.0 km,17 mins
CS7,CS39,6.7 km,22 mins
CS7,CS40,5.8 km,19 mins
CS7,CS41,10.1 km,27 mins
CS7,CS42,9.3 km,25 mins
